,2020-08-14
SDYL,10
ATNM,10
MLPC,10
BDCZ,10
BDCS,10
DEUR,10
DJPY,10
DIVC,10
SMHB,10
FUD,10
C,10
GS,10
DKNG,10
ETH,10
USV,10
AMUB,10
AMU,10
DGBP,10
FIHD,10
DAUD,10
FBGX,10
JPM,10
DCHF,10
PYPE,10
FIEE,10
PFFL,10
AMJ,10
FRLG,10
BMTC,10
MLPE,10
MS,10
UGBP,10
UCIB,10
UAG,10
MLPG,10
UAUD,10
UBG,10
RNDB,10
MLPY,10
UCI,10
UEUR,10
GCE,10
UJPY,10
UCHF,10
MLPI,10
DFVS,9
DFVL,9
JO,9
OIL,9
PGM,9
ATMP,9
VQT,9
IMLP,9
GSP,9
BAL,9
VRT,9
VXZ,9
VXX,9
GAZ,9
XVZ,9
DNB,9
JJA,9
DJP,9
JJN,9
JJP,9
CAPE,9
JJT,9
JJU,9
JJM,9
RODI,9
Z,9
SGG,9
FFEU,9
JJC,9
COW,9
FIYY,9
GRN,9
PIH,9
PIHPP,9
WIL,9
LD,9
ZG,9
JJE,9
BCM,9
FRME,8
FND,8
VAPO,7
ABMD,7
BKYI,7
RAMP,7
VIV,7
LC,6
FCNCA,6
FET,6
EV,6
NOW,6
B,6
TD,6
TAST,6
AIMC,6
LRN,6
MLPO,5
BAC,5
K,5
GLDI,5
FEUL,5
FENC,5
FLGE,5
USOI,5
SLVO,5
EUFX,5
ENS,5
LYTS,5
SNDL,5
REML,5
KRTX,5
CROC,5
SVT,5
VCNX,5
MCI,4
AIM,4
PCTY,4
UEIC,4
WRB,4
LIVE,4
ZOM,4
SWBI,4
GWRE,4
CRWS,4
HSON,4
NYMX,4
LKQ,4
COLD,4
MYGN,4
EYEN,4
CFRX,4
FRPT,3
TTEK,3
ECOM,3
UPS,3
BNGO,3
HL,3
ASFI,3
GNUS,3
GO,3
CINF,3
RY,3
EBR,3
CRK,3
LXP,3
RESN,3
DMTK,3
BLK,3
RVMD,3
CELC,3
MCRB,3
LPLA,3
MJCO,3
LRMR,3
BRBS,3
MEDP,3
MHNC,3
MHLA,3
ALTR,3
MHLD,3
MRNA,3
GSV,3
PTON,3
SDGR,3
PZZA,3
PHUN,3
ACEL,3
CENX,3
RGR,3
FREEW,3
SUZ,3
FREE,3
RUHN,2
CXDC,2
AYRO,2
UBS,2
AIRT,2
KSMTU,2
DOW,2
BECN,2
IART,2
AIRTW,2
GEVO,2
THMO,2
HZO,2
MDLY,2
CCL,2
BW,2
IMRA,2
NUE,2
MFG,2
RSSS,2
PLX,2
RELV,2
CSTL,2
IDXG,2
ICPT,2
NTN,2
NWGI,2
