,ticker,cik
0,A,0001090872
1,AA,0001675149
2,AAMC,0001555074
3,AAN,0000706688
4,AAP,0001158449
5,AAT,0001500217
6,AAU,0001015647
7,AB,0000825313
8,ABB,0001091587
9,ABBV,0001551152
10,ABC,0001140859
11,ABEV,0001565025
12,ABG,0001144980
13,ABM,0000771497
14,ABR,0001253986
15,ABT,0000001800
16,AC,0001642122
17,ACA,0001739445
18,ACB,0001683541
19,ACC,0001283630
20,ACCO,0000712034
21,ACEL,0001698991
22,ACH,0001161611
23,ACI,0001646972
24,ACM,0000868857
25,ACN,0001467373
26,ACP,0001503290
27,ACRE,0001529377
28,ACU,0000002098
29,ACV,0001636289
30,ACY,0001036848
31,ADC,0000917251
32,ADCT,0001771910
33,ADM,0000007084
34,ADNT,0001670541
35,ADS,0001101215
36,ADSW,0001585790
37,ADT,0001703056
38,ADX,0000002230
39,AE,0000002178
40,AEE,0001002910
41,AEF,0000846676
42,AEG,0000769218
43,AEL,0001039828
44,AEM,0000002809
45,AEO,0000919012
46,AEP,0000004904
47,AER,0001378789
48,AES,0000874761
49,AFB,0001162027
50,AFC,0001287750
51,AFG,0001042046
52,AFGB,0001042046
53,AFGC,0001042046
54,AFGD,0001042046
55,AFGH,0001042046
56,AFI,0001655075
57,AFL,0000004977
58,AFT,0001502573
59,AG,0001308648
60,AGCO,0000880266
61,AGD,0001362481
62,AGE,0001708599
63,AGI,0001178819
64,AGM,0000845877
65,AGO,0001273813
66,AGR,0001634997
67,AGRO,0001499505
68,AGS,0001593548
69,AGX,0000100591
70,AHC,0001413898
71,AHH,0001569187
72,AHT,0001232582
73,AI,0001209028
74,AIF,0001526697
75,AIG,0000005272
76,AIM,0000946644
77,AIN,0000819793
78,AINC,0001604738
79,AIO,0001778114
80,AIR,0000001750
81,AIRI,0001009891
82,AIT,0000109563
83,AIV,0000922864
84,AIZ,0001267238
85,AJG,0000354190
86,AJRD,0000040888
87,AJX,0001614806
88,AKR,0000899629
89,AL,0001487712
90,ALB,0000915913
91,ALC,0001167379
92,ALE,0000066756
93,ALEX,0001545654
94,ALG,0000897077
95,ALK,0000766421
96,ALL,0000899051
97,ALLE,0001579241
98,ALLY,0000040729
99,ALSN,0001411207
100,ALTG,0001759824
101,ALUS,0001781115
102,ALV,0001034670
103,ALX,0000003499
104,AM,0001623925
105,AMBC,0000874501
106,AMBO,0001494558
107,AMC,0001411579
108,AMCR,0001748790
109,AME,0001037868
110,AMG,0001004434
111,AMH,0001562401
112,AMJ,0000019617
113,AMK,0001591587
114,AMN,0001142750
115,AMOV,0001129137
116,AMP,0000820027
117,AMPE,0001411906
118,AMPY,0001533924
119,AMRC,0001488139
120,AMRX,0001723128
121,AMS,0000744825
122,AMT,0001053507
123,AMU,0001114446
124,AMUB,0001114446
125,AMX,0001129137
126,AN,0000350698
127,ANET,0001596532
128,ANF,0001018840
129,ANH,0001047884
130,ANTM,0001156039
131,ANVS,0001477845
132,AOD,0001379400
133,AON,0000315293
134,AOS,0000091142
135,AP,0000006176
136,APAM,0001517302
137,APD,0000002969
138,APG,0001796209
139,APH,0000820313
140,APLE,0001418121
141,APO,0001411494
142,APRN,0001701114
143,APT,0000884269
144,APTS,0001481832
145,APTV,0001521332
146,AQN,0001174169
147,AQNA,0001174169
148,AQNB,0001174169
149,AQUA,0001604643
150,AR,0001433270
151,ARA,0001498068
152,ARC,0001305168
153,ARCH,0001037676
154,ARCO,0001508478
155,ARD,0001689662
156,ARE,0001035443
157,ARES,0001176948
158,ARGD,0001091748
159,ARGO,0001091748
160,ARI,0001467760
161,ARL,0001102238
162,ARLO,0001736946
163,ARMK,0001584509
164,ARMP,0000921114
165,ARNC,0001790982
166,AROC,0001389050
167,ARR,0001428205
168,ARW,0000007536
169,ASA,0001230869
170,ASB,0000007789
171,ASC,0001577437
172,ASG,0000786035
173,ASGN,0000890564
174,ASH,0001674862
175,ASIX,0001673985
176,ASM,0000316888
177,ASPN,0001145986
178,ASR,0001123452
179,ASX,0001122411
180,AT,0001419242
181,ATCO,0001794846
182,ATEN,0001580808
183,ATGE,0000730464
184,ATH,0001527469
185,ATHM,0001527636
186,ATI,0001018963
187,ATKR,0001666138
188,ATMP,0000312070
189,ATNM,0001388320
190,ATO,0000731802
191,ATR,0000896622
192,ATTO,0001606457
193,ATUS,0001702780
194,ATV,0001365742
195,AU,0001067428
196,AUG,0001514597
197,AUMN,0001011509
198,AUY,0001264089
199,AVA,0000104918
200,AVAL,0001504764
201,AVB,0000915912
202,AVD,0000005981
203,AVK,0001219120
204,AVLR,0001348036
205,AVNS,0001606498
206,AVNT,0001122976
207,AVTR,0001722482
208,AVY,0000008818
209,AVYA,0001418100
210,AWF,0000906013
211,AWI,0000007431
212,AWK,0001410636
213,AWP,0001390195
214,AWR,0001056903
215,AWX,0001061069
216,AX,0001299709
217,AXL,0001062231
218,AXO,0001299709
219,AXP,0000004962
220,AXR,0000006207
221,AXS,0001214816
222,AXTA,0001616862
223,AXU,0001364128
224,AYI,0001144215
225,AYX,0001689923
226,AZEK,0001782754
227,AZN,0000901832
228,AZO,0000866787
229,AZRE,0001633438
230,AZUL,0001432364
231,AZZ,0000008947
232,B,0000009984
233,BA,0000012927
234,BABA,0001577552
235,BAC,0000070858
236,BAF,0001181026
237,BAH,0001443646
238,BAK,0001071438
239,BAL,0000312070
240,BAM,0001001085
241,BANC,0001169770
242,BAP,0001001290
243,BAR,0001690437
244,BATL,0001282648
245,BAX,0000010456
246,BB,0001070235
247,BBAR,0000913059
248,BBD,0001160330
249,BBDC,0001379785
250,BBDO,0001160330
251,BBF,0001137392
252,BBK,0001167467
253,BBL,0001171264
254,BBN,0001493683
255,BBU,0001654795
256,BBVA,0000842180
257,BBW,0001113809
258,BBX,0000315858
259,BBY,0000764478
260,BC,0000014930
261,BCC,0001328581
262,BCE,0000718940
263,BCEI,0001509589
264,BCH,0001161125
265,BCM,0000312070
266,BCO,0000078890
267,BCS,0000312069
268,BCSF,0001655050
269,BCV,0000009521
270,BCX,0001506289
271,BDC,0000913142
272,BDCS,0001114446
273,BDCZ,0001114446
274,BDJ,0001332283
275,BDL,0000012040
276,BDN,0000790816
277,BDR,0001000683
278,BDX,0000010795
279,BDXB,0000010795
280,BE,0001664703
281,BEDU,0001696355
282,BEKE,0001809587
283,BEN,0000038777
284,BEP,0001533232
285,BEPC,0001791863
286,BERY,0001378992
287,BEST,0001709505
288,BFAM,0001437578
289,BFK,0001137393
290,BFO,0001181249
291,BFS,0000907254
292,BFY,0001176197
293,BFZ,0001137391
294,BG,0001144519
295,BGB,0001546429
296,BGH,0001521404
297,BGI,0001179821
298,BGIO,0001691433
299,BGR,0001306550
300,BGS,0001278027
301,BGSF,0001474903
302,BGT,0001287480
303,BGX,0001504234
304,BGY,0001393299
305,BH,0001726173
306,BHB,0000743367
307,BHC,0000885590
308,BHE,0000863436
309,BHK,0001160864
310,BHLB,0001108134
311,BHP,0000811809
312,BHR,0001574085
313,BHV,0001169034
314,BHVN,0001689813
315,BIF,0000102426
316,BIG,0000768835
317,BILL,0001786352
318,BIO,0000012208
319,BIOX,0001769484
320,BIP,0001406234
321,BIPC,0001788348
322,BIT,0001562818
323,BITA,0001499781
324,BJ,0001531152
325,BK,0001390777
326,BKD,0001332349
327,BKE,0000885245
328,BKH,0001130464
329,BKI,0001627014
330,BKK,0001181250
331,BKN,0000894242
332,BKR,0001701605
333,BKT,0000832327
334,BKTI,0000002186
335,BKU,0001504008
336,BLD,0001633931
337,BLE,0001176194
338,BLK,0001364742
339,BLL,0000009389
340,BLW,0001233681
341,BLX,0000890541
342,BMA,0001347426
343,BME,0001314966
344,BMI,0000009092
345,BMO,0000927971
346,BMRG,0001805077
347,BMY,0000014272
348,BNED,0001634117
349,BNS,0000009631
350,BNY,0001137390
351,BOE,0001320375
352,BOH,0000046195
353,BOOT,0001610250
354,BORR,0001715497
355,BOX,0001372612
356,BP,0000313807
357,BPMP,0001708301
358,BPT,0000850033
359,BQH,0001167470
360,BR,0001383312
361,BRBR,0001772016
362,BRBS,0000842717
363,BRC,0000746598
364,BRFS,0001122491
365,BRG,0001442626
366,BRMK,0001784797
367,BRN,0000010048
368,BRO,0000079282
369,BRT,0000014846
370,BRX,0001581068
371,BSA,0001748824
372,BSAC,0001027552
373,BSBR,0001471055
374,BSD,0001089094
375,BSE,0001181024
376,BSIG,0001748824
377,BSL,0001486298
378,BSM,0001621434
379,BSMX,0001698287
380,BST,0001616678
381,BSTZ,0001768666
382,BSX,0000885725
383,BTA,0001343793
384,BTE,0001279495
385,BTG,0001429937
386,BTI,0001303523
387,BTN,0000946454
388,BTO,0000925683
389,BTT,0001528437
390,BTU,0001064728
391,BTZ,0001379384
392,BUD,0001668717
393,BUI,0001528988
394,BURL,0001579298
395,BV,0001734713
396,BVN,0001013131
397,BW,0001630805
398,BWA,0000908255
399,BWG,0001504545
400,BWXT,0001486957
401,BX,0001393818
402,BXC,0001301787
403,BXG,0000778946
404,BXMT,0001061630
405,BXMX,0001298699
406,BXP,0001037540
407,BXS,0000701853
408,BY,0001702750
409,BYD,0000906553
410,BYM,0001181187
411,BZH,0000915840
412,BZM,0001169029
413,C,0000831001
414,CAAP,0001717393
415,CABO,0001632127
416,CACI,0000016058
417,CADE,0001614184
418,CAE,0001173382
419,CAF,0001368493
420,CAG,0000023217
421,CAH,0000721371
422,CAI,0001388430
423,CAJ,0000016988
424,CAL,0000014707
425,CALX,0001406666
426,CANF,0001536196
427,CANG,0001725123
428,CAPE,0000312070
429,CAPL,0001538849
430,CARR,0001783180
431,CARS,0001683606
432,CAT,0000018230
433,CATO,0000018255
434,CB,0000896159
435,CBB,0000716133
436,CBD,0001038572
437,CBH,0001701809
438,CBL,0000910612
439,CBOE,0001374310
440,CBRE,0001138118
441,CBT,0000016040
442,CBU,0000723188
443,CBZ,0000944148
444,CC,0001627223
445,CCAC,0001794621
446,CCC,0001764046
447,CCEP,0001650107
448,CCF,0000830524
449,CCH,0001739566
450,CCI,0001051470
451,CCJ,0001009001
452,CCK,0001219601
453,CCL,0000815097
454,CCM,0001472072
455,CCO,0001334978
456,CCR,0001637558
457,CCS,0001576940
458,CCU,0000888746
459,CCX,0001774675
460,CCXX,0001793229
461,CCZ,0001166691
462,CDAY,0001725057
463,CDE,0000215466
464,CDOR,0000929545
465,CDR,0000761648
466,CE,0001306830
467,CEA,0001030475
468,CEE,0000860489
469,CEI,0001309082
470,CEIX,0001710366
471,CEL,0001385145
472,CELP,0001587246
473,CEM,0001488775
474,CEN,0001576340
475,CEO,0001095595
476,CEPU,0001717161
477,CEQP,0001136352
478,CEQP$,0001136352
479,CET,0000018748
480,CEV,0001074692
481,CF,0001324404
482,CFG,0000759944
483,CFR,0000039263
484,CFX,0001420800
485,CGA,0000857949
486,CGC,0001737927
487,CHA,0001191255
488,CHAP,0001346980
489,CHAQ,0001799850
490,CHCT,0001631569
491,CHD,0000313927
492,CHE,0000019584
493,CHGG,0001364954
494,CHH,0001046311
495,CHL,0001117795
496,CHMI,0001571776
497,CHN,0000845379
498,CHRA,0001730346
499,CHS,0000897429
500,CHT,0001132924
501,CHU,0001113866
502,CHWY,0001766502
503,CHX,0001723089
504,CI,0001739940
505,CIA,0000024090
506,CIB,0001071371
507,CIEN,0000936395
508,CIF,0000833021
509,CIG,0001157557
510,CII,0001278895
511,CIK,0000810766
512,CIM,0001409493
513,CINR,0001575051
514,CIO,0001593222
515,CIR,0001091883
516,CIT,0001171825
517,CIX,0001049606
518,CKH,0000859598
519,CKX,0000352955
520,CL,0000021665
521,CLB,0001000229
522,CLDR,0001535379
523,CLDT,0001476045
524,CLF,0000764065
525,CLGX,0000036047
526,CLH,0000822818
527,CLI,0000924901
528,CLM,0000814083
529,CLNC,0001717547
530,CLNY,0001679688
531,CLPR,0001649096
532,CLR,0000732834
533,CLS,0001030894
534,CLW,0001441236
535,CLX,0000021076
536,CM,0001045520
537,CMA,0000028412
538,CMC,0000022444
539,CMCL,0000766011
540,CMCM,0001597835
541,CMD,0000019446
542,CMG,0001058090
543,CMI,0000026172
544,CMO,0000766701
545,CMP,0001227654
546,CMRE,0001503584
547,CMS,0000811156
548,CMSC,0000811156
549,CMSD,0000811156
550,CMT,0001026655
551,CMU,0000809844
552,CNA,0000021175
553,CNC,0001071739
554,CNF,0001733868
555,CNHI,0001567094
556,CNI,0000016868
557,CNK,0001385280
558,CNMD,0000816956
559,CNNE,0001704720
560,CNO,0001224608
561,CNP,0001130310
562,CNQ,0001017413
563,CNR,0000883902
564,CNS,0001284812
565,CNX,0001070412
566,CNXM,0001610418
567,CO,0001467808
568,CODI,0001345126
569,COE,0001659494
570,COF,0000927628
571,COG,0000858470
572,COHN,0001270436
573,COLD,0001455863
574,COO,0000711404
575,COP,0001163165
576,COR,0001490892
577,CORR,0001347652
578,COTY,0001024305
579,COW,0000312070
580,CP,0000016875
581,CPA,0001345105
582,CPAC,0001221029
583,CPB,0000016732
584,CPE,0000928022
585,CPF,0000701347
586,CPG,0001545851
587,CPHI,0001106644
588,CPK,0000019745
589,CPLG,0001707178
590,CPRI,0001530721
591,CPS,0001320461
592,CPT,0000906345
593,CQP,0001383650
594,CR,0000025445
595,CRF,0000033934
596,CRH,0000849395
597,CRHM,0001461119
598,CRI,0001060822
599,CRK,0000023194
600,CRL,0001100682
601,CRM,0001108524
602,CRMD,0001410098
603,CROC,0001415311
604,CRS,0000017843
605,CRT,0000881787
606,CRY,0000784199
607,CS,0001159510
608,CSL,0000790051
609,CSLT,0001433714
610,CSPR,0001598674
611,CSTM,0001563411
612,CSU,0001043000
613,CSV,0001016281
614,CTB,0000024491
615,CTEK,0001011432
616,CTK,0001734262
617,CTL,0000018926
618,CTLT,0001596783
619,CTO,0000023795
620,CTR,0001547341
621,CTRA,0001704715
622,CTS,0000026058
623,CTT,0001341141
624,CTVA,0001755672
625,CTY,0000068622
626,CUB,0000026076
627,CUBE,0001298675
628,CUBI,0001488813
629,CUK,0001125259
630,CULP,0000723603
631,CURO,0001711291
632,CUZ,0000025232
633,CVA,0000225648
634,CVE,0001475260
635,CVEO,0001590584
636,CVI,0001376139
637,CVM,0000725363
638,CVNA,0001690820
639,CVR,0000019871
640,CVS,0000064803
641,CVU,0000889348
642,CVX,0000093410
643,CW,0000026324
644,CWEN,0001567683
645,CWH,0001669779
646,CWK,0001628369
647,CWT,0001035201
